"run","peak_cd","peak_dc","peak_dd","max_non_cc","cd_ever_gt_cc","non_cc_ever_gt_cc"
"1","0.656","0.07","0.069","1","True","True"
"2","0.728","0.056","0.071","1","True","True"
"3","0.703","0.073","0.088","1","True","True"
"4","0.751","0.065","0.079","1","True","True"
"5","0.769","0.066","0.086","1","True","True"
"6","0.762","0.064","0.063","1","True","True"
"7","0.726","0.066","0.082","1","True","True"
"8","0.747","0.058","0.068","1","True","True"
"9","0.675","0.07","0.069","1","True","True"
"10","0.715","0.091","0.102","1","True","True"
"11","0.691","0.054","0.099","1","True","True"
"12","0.762","0.043","0.086","1","True","True"
"13","0.591","0.052","0.063","1","True","True"
"14","0.711","0.055","0.069","1","True","True"
"15","0.731","0.075","0.071","1","True","True"
"16","0.782","0.051","0.078","1","True","True"
"17","0.772","0.056","0.066","1","True","True"
"18","0.677","0.054","0.085","1","True","True"
"19","0.766","0.1","0.053","1","True","True"
"20","0.734","0.056","0.075","1","True","True"
