"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Ethnocentrism.nlogox"
"ethno-cost-gain-grid"
"06/24/2026 20:04:42:839 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","gain-of-receiving","initial-ptr","immigrants-per-day","immigrant-chance-cooperate-with-same","mutation-rate","cost-of-giving","immigrant-chance-cooperate-with-different","death-rate","[step]","count turtles","cc-percent","cd-percent","dc-percent","dd-percent","last100consist-ethno-percent","last100coop-percent"
"1","0.01","0.12","1","0.5","0.005","0","0.5","0.1","2000","1390","0.5472667916927139","0.3152354271337393","0.09385442954936601","0.04364335162418097","0.7597588940999663","0.8239026507397714"
"2","0.01","0.12","1","0.5","0.005","0","0.5","0.1","2000","1356","0.3626611663118051","0.5413561627631891","0.05104832032174119","0.044934350603264735","0.8514377094493775","0.821044617303882"
"3","0.01","0.12","1","0.5","0.005","0","0.5","0.1","2000","1284","0.32471297782118963","0.5549974030403807","0.04472972239664488","0.07555989674178469","0.8229336399474376","0.7860611038107753"
"4","0.01","0.12","1","0.5","0.005","0","0.5","0.1","2000","1363","0.4372357418021234","0.44562936515393525","0.048114566694854206","0.06902032634908703","0.8156794242378559","0.8165774139208065"
"5","0.01","0.12","1","0.5","0.005","0","0.5","0.1","2000","1311","0.3316038939449003","0.55461652065662","0.023614193259052497","0.09016539213942737","0.8327427059127291","0.8074586883552801"
"6","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","743","0.1932985097135963","0.17287048081273393","0.27306379303253403","0.36076721644113574","0.37101041491684866","0.3816353099277675"
"7","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","765","0.15811524503584815","0.2590062844835217","0.1722774614227127","0.4106010090579176","0.454368604864898","0.4110042276821273"
"8","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","498","0.22039686202122752","0.3432210429164744","0.09489616982002769","0.3414859252422704","0.5640376039027658","0.5187286698352213"
"9","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","819","0.12019237692052932","0.1621524327904733","0.27602344233732196","0.44163174795167537","0.3125261740951241","0.2712608435536943"
"10","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","457","0.1039642479500429","0.16036550086786505","0.32105021646749","0.41462003471460207","0.2865895399780942","0.27670910916392844"
"11","0.01","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","701","0.017761463544596078","0.0502353393919659","0.3401912317574969","0.5918119653059413","0.12513447580950648","0.09392093580011213"
"12","0.01","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","638","0.02704003718212602","0.038559856583228205","0.21909235774516964","0.7153077484894761","0.10376748816655895","0.06453810280683982"
"13","0.01","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","543","0.0362153121480015","0.06138853807557087","0.232856606478479","0.6695395432979485","0.14860773078323528","0.09000402445334509"
"14","0.01","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","380","0.05371491469455146","0.07231700605393507","0.33918547055586135","0.5347826086956522","0.1356849383705782","0.12850319003240138"
"15","0.01","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","512","0.04622836128800789","0.03575208538882411","0.20586599695039914","0.7121535563727688","0.1515336236090953","0.08943396226415094"
"16","0.01","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","497","0.008885622661678246","0.044071797612684836","0.2062177088900766","0.7408248708355604","0.11718993253762325","0.045809548521017124"
"17","0.01","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","402","0.014148861027723822","0.017239095885573017","0.18982871269645066","0.7787833303902526","0.08515238070281177","0.03237598595424648"
"18","0.01","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","365","0.01942055118302103","0.024830039718316724","0.19176880528277981","0.7639806038158824","0.09094153248829508","0.046120246659815005"
"19","0.01","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","436","0.016887764007680224","0.01917873974515622","0.16265927736079594","0.8012742188863676","0.08592158859470468","0.029073319755600815"
"20","0.01","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","445","0.013416006531476864","0.038769610979942186","0.09746463955515347","0.8503497429334275","0.09642695271189002","0.03569270282520018"
"21","0.03","0.12","1","0.5","0.005","0","0.5","0.1","2000","1802","0.19881158167675025","0.7487197493517719","0.0143528522039758","0.03811581676750216","0.9177669251362254","0.8329643516255864"
"22","0.03","0.12","1","0.5","0.005","0","0.5","0.1","2000","1802","0.16413395436203498","0.798101967379612","0.010270999306530085","0.027493078951822958","0.9321607665770042","0.8102446221136006"
"23","0.03","0.12","1","0.5","0.005","0","0.5","0.1","2000","1842","0.22431368753830766","0.7312278890716905","0.01087131842962676","0.033587104960375064","0.9070221301740868","0.838028271007734"
"24","0.03","0.12","1","0.5","0.005","0","0.5","0.1","2000","1756","0.1390430332735949","0.7915326150324964","0.017160408524604324","0.052263943169304515","0.9159828878724555","0.7976045213426664"
"25","0.03","0.12","1","0.5","0.005","0","0.5","0.1","2000","1900","0.3083852450645784","0.6259345455327245","0.03477503722057693","0.03090517218212015","0.8781925379408312","0.8482674774239372"
"26","0.03","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","1590","0.1608614396628495","0.690694494964065","0.028923702133530675","0.119520363239555","0.8462256320313636","0.7306803100717029"
"27","0.03","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","1685","0.16328265989661397","0.7468448903434987","0.0312727495182455","0.05859970024164195","0.8970017708206605","0.7847191244125427"
"28","0.03","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","1590","0.11010406176569319","0.7873136647893278","0.00807504382529559","0.09450722961968347","0.9023683628726188","0.7538597590183869"
"29","0.03","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","1652","0.17207728279596357","0.7042394782180654","0.023953974895397488","0.09972926409057348","0.8685905840016637","0.7565959005054296"
