"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Rebellion.nlogox"
"legitimacy-gradual-drop"
"06/30/2026 13:09:34:878 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","movement?","initial-cop-density","initial-agent-density","vision","max-jail-term","[step]","count agents with [active?]","count agents with [jail-term > 0]","count cops","government-legitimacy"
"3","true","4","70","7","30","0","0","0","64","0.9"
"2","true","4","70","7","30","0","0","0","64","0.9"
"4","true","4","70","7","30","0","0","0","64","0.9"
"1","true","4","70","7","30","0","0","0","64","0.9"
"2","true","4","70","7","30","1","0","0","64","0.9"
"4","true","4","70","7","30","1","0","0","64","0.9"
"1","true","4","70","7","30","1","0","0","64","0.9"
"3","true","4","70","7","30","1","0","0","64","0.9"
"4","true","4","70","7","30","2","0","1","64","0.8964"
"1","true","4","70","7","30","2","0","0","64","0.8964"
"2","true","4","70","7","30","2","0","0","64","0.8964"
"3","true","4","70","7","30","2","0","0","64","0.8964"
"4","true","4","70","7","30","3","1","2","64","0.8928"
"1","true","4","70","7","30","3","0","1","64","0.8928"
"2","true","4","70","7","30","3","0","0","64","0.8928"
"3","true","4","70","7","30","3","0","0","64","0.8928"
"2","true","4","70","7","30","4","0","0","64","0.8892"
"3","true","4","70","7","30","4","0","0","64","0.8892"
"4","true","4","70","7","30","4","0","5","64","0.8892"
"1","true","4","70","7","30","4","0","2","64","0.8892"
"2","true","4","70","7","30","5","0","0","64","0.8856"
"3","true","4","70","7","30","5","6","6","64","0.8856"
"4","true","4","70","7","30","5","0","5","64","0.8856"
"1","true","4","70","7","30","5","0","3","64","0.8856"
"2","true","4","70","7","30","6","0","1","64","0.882"
"3","true","4","70","7","30","6","0","11","64","0.882"
"4","true","4","70","7","30","6","0","5","64","0.882"
"1","true","4","70","7","30","6","0","2","64","0.882"
"2","true","4","70","7","30","7","1","2","64","0.8784000000000001"
"3","true","4","70","7","30","7","0","10","64","0.8784000000000001"
"4","true","4","70","7","30","7","0","7","64","0.8784000000000001"
"1","true","4","70","7","30","7","1","2","64","0.8784000000000001"
"2","true","4","70","7","30","8","2","6","64","0.8748"
"3","true","4","70","7","30","8","0","9","64","0.8748"
"4","true","4","70","7","30","8","0","8","64","0.8748"
"1","true","4","70","7","30","8","0","5","64","0.8748"
"2","true","4","70","7","30","9","0","7","64","0.8712"
"3","true","4","70","7","30","9","0","9","64","0.8712"
"2","true","4","70","7","30","10","32","13","64","0.8676"
"3","true","4","70","7","30","10","0","9","64","0.8676"
"4","true","4","70","7","30","9","0","9","64","0.8712"
"1","true","4","70","7","30","9","0","3","64","0.8712"
"2","true","4","70","7","30","11","83","41","64","0.864"
"3","true","4","70","7","30","11","0","13","64","0.864"
"4","true","4","70","7","30","10","0","12","64","0.8676"
"1","true","4","70","7","30","10","3","6","64","0.8676"
"2","true","4","70","7","30","12","126","84","64","0.8604"
"3","true","4","70","7","30","12","0","15","64","0.8604"
"4","true","4","70","7","30","11","0","12","64","0.864"
"1","true","4","70","7","30","11","0","14","64","0.864"
"2","true","4","70","7","30","13","139","137","64","0.8568"
"3","true","4","70","7","30","13","26","31","64","0.8568"
"4","true","4","70","7","30","12","0","12","64","0.8604"
"2","true","4","70","7","30","14","122","196","64","0.8532000000000001"
"1","true","4","70","7","30","12","0","14","64","0.8604"
"3","true","4","70","7","30","14","46","57","64","0.8532000000000001"
"2","true","4","70","7","30","15","73","248","64","0.8496"
"4","true","4","70","7","30","13","1","15","64","0.8568"
"1","true","4","70","7","30","13","0","16","64","0.8568"
"3","true","4","70","7","30","15","79","97","64","0.8496"
"2","true","4","70","7","30","16","18","287","64","0.846"
"3","true","4","70","7","30","16","196","154","64","0.846"
"4","true","4","70","7","30","14","0","16","64","0.8532000000000001"
"1","true","4","70","7","30","14","1","18","64","0.8532000000000001"
"2","true","4","70","7","30","17","0","289","64","0.8424"
"3","true","4","70","7","30","17","195","208","64","0.8424"
"2","true","4","70","7","30","18","3","273","64","0.8388"
"1","true","4","70","7","30","15","37","30","64","0.8496"
