"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Rebellion.nlogox"
"legitimacy-sudden-drop"
"06/30/2026 13:10:50:461 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","movement?","initial-cop-density","initial-agent-density","vision","max-jail-term","[step]","count agents with [active?]","count agents with [jail-term > 0]","count cops","government-legitimacy"
"2","true","4","70","7","30","0","0","0","64","0.9"
"3","true","4","70","7","30","0","0","0","64","0.9"
"1","true","4","70","7","30","0","0","0","64","0.9"
"4","true","4","70","7","30","0","0","0","64","0.9"
"4","true","4","70","7","30","1","0","0","64","0.9"
"3","true","4","70","7","30","1","0","0","64","0.9"
"1","true","4","70","7","30","1","0","0","64","0.9"
"2","true","4","70","7","30","1","0","0","64","0.9"
"4","true","4","70","7","30","2","0","0","64","0.9"
"2","true","4","70","7","30","2","0","0","64","0.9"
"3","true","4","70","7","30","2","0","0","64","0.9"
"1","true","4","70","7","30","2","0","0","64","0.9"
"4","true","4","70","7","30","3","0","0","64","0.9"
"2","true","4","70","7","30","3","0","0","64","0.9"
"3","true","4","70","7","30","3","0","0","64","0.9"
"1","true","4","70","7","30","3","0","0","64","0.9"
"2","true","4","70","7","30","4","0","0","64","0.9"
"1","true","4","70","7","30","4","0","0","64","0.9"
"3","true","4","70","7","30","4","0","0","64","0.9"
"4","true","4","70","7","30","4","0","0","64","0.9"
"1","true","4","70","7","30","5","0","0","64","0.9"
"3","true","4","70","7","30","5","0","0","64","0.9"
"2","true","4","70","7","30","5","0","0","64","0.9"
"4","true","4","70","7","30","5","0","0","64","0.9"
"3","true","4","70","7","30","6","0","0","64","0.9"
"1","true","4","70","7","30","6","0","0","64","0.9"
"2","true","4","70","7","30","6","0","0","64","0.9"
"4","true","4","70","7","30","6","0","0","64","0.9"
"3","true","4","70","7","30","7","0","0","64","0.9"
"2","true","4","70","7","30","7","0","0","64","0.9"
"1","true","4","70","7","30","7","0","0","64","0.9"
"3","true","4","70","7","30","8","0","0","64","0.9"
"4","true","4","70","7","30","7","0","0","64","0.9"
"2","true","4","70","7","30","8","0","0","64","0.9"
"1","true","4","70","7","30","8","0","0","64","0.9"
"3","true","4","70","7","30","9","0","0","64","0.9"
"2","true","4","70","7","30","9","0","0","64","0.9"
"4","true","4","70","7","30","8","0","0","64","0.9"
"1","true","4","70","7","30","9","0","0","64","0.9"
"3","true","4","70","7","30","10","0","0","64","0.9"
"2","true","4","70","7","30","10","0","0","64","0.9"
"1","true","4","70","7","30","10","0","0","64","0.9"
"4","true","4","70","7","30","9","0","0","64","0.9"
"3","true","4","70","7","30","11","0","0","64","0.9"
"2","true","4","70","7","30","11","0","0","64","0.9"
"1","true","4","70","7","30","11","0","0","64","0.9"
"4","true","4","70","7","30","10","0","0","64","0.9"
"3","true","4","70","7","30","12","0","0","64","0.9"
"2","true","4","70","7","30","12","0","0","64","0.9"
"1","true","4","70","7","30","12","0","0","64","0.9"
"3","true","4","70","7","30","13","0","0","64","0.9"
"4","true","4","70","7","30","11","0","0","64","0.9"
"2","true","4","70","7","30","13","0","0","64","0.9"
"1","true","4","70","7","30","13","0","0","64","0.9"
"3","true","4","70","7","30","14","0","0","64","0.9"
"2","true","4","70","7","30","14","0","0","64","0.9"
"4","true","4","70","7","30","12","0","0","64","0.9"
"1","true","4","70","7","30","14","0","0","64","0.9"
"3","true","4","70","7","30","15","0","0","64","0.9"
"2","true","4","70","7","30","15","0","0","64","0.9"
"1","true","4","70","7","30","15","0","0","64","0.9"
"4","true","4","70","7","30","13","0","0","64","0.9"
"3","true","4","70","7","30","16","0","0","64","0.9"
"2","true","4","70","7","30","16","0","0","64","0.9"
"1","true","4","70","7","30","16","0","0","64","0.9"
"3","true","4","70","7","30","17","0","0","64","0.9"
"4","true","4","70","7","30","14","0","0","64","0.9"
"2","true","4","70","7","30","17","0","0","64","0.9"
"1","true","4","70","7","30","17","0","0","64","0.9"
"3","true","4","70","7","30","18","0","0","64","0.9"
"1","true","4","70","7","30","18","0","0","64","0.9"
"4","true","4","70","7","30","15","0","0","64","0.9"
"2","true","4","70","7","30","18","0","0","64","0.9"
"3","true","4","70","7","30","19","0","0","64","0.9"
"1","true","4","70","7","30","19","0","0","64","0.9"
"2","true","4","70","7","30","19","0","0","64","0.9"
"4","true","4","70","7","30","16","0","0","64","0.9"
"3","true","4","70","7","30","20","0","0","64","0.9"
"1","true","4","70","7","30","20","0","0","64","0.9"
"2","true","4","70","7","30","20","0","0","64","0.9"
"3","true","4","70","7","30","21","0","0","64","0.9"
"4","true","4","70","7","30","17","0","0","64","0.9"
"1","true","4","70","7","30","21","0","0","64","0.9"
"2","true","4","70","7","30","21","0","0","64","0.9"
"3","true","4","70","7","30","22","0","0","64","0.9"
"4","true","4","70","7","30","18","0","0","64","0.9"
"1","true","4","70","7","30","22","0","0","64","0.9"
"2","true","4","70","7","30","22","0","0","64","0.9"
"3","true","4","70","7","30","23","0","0","64","0.9"
"1","true","4","70","7","30","23","0","0","64","0.9"
"4","true","4","70","7","30","19","0","0","64","0.9"
"2","true","4","70","7","30","23","0","0","64","0.9"
"3","true","4","70","7","30","24","0","0","64","0.9"
"1","true","4","70","7","30","24","0","0","64","0.9"
"4","true","4","70","7","30","20","0","0","64","0.9"
"2","true","4","70","7","30","24","0","0","64","0.9"
"3","true","4","70","7","30","25","0","0","64","0.9"
"1","true","4","70","7","30","25","0","0","64","0.9"
"2","true","4","70","7","30","25","0","0","64","0.9"
"3","true","4","70","7","30","26","0","0","64","0.9"
"4","true","4","70","7","30","21","0","0","64","0.9"
"1","true","4","70","7","30","26","0","0","64","0.9"
