"scenario","condition","run","steps","episodes","mean_active","peak_active","share_rebellion","first_rebellion_tick","mean_jailed","final_active","final_jailed","final_cops","final_legitimacy"
"Q5 movement","movement=true","4","1001","36","34.565","315","0.245","2","213.953","0","293","64","0.82"
"Q5 movement","movement=true","3","1001","36","37.486","348","0.247","6","219.6","0","391","64","0.82"
"Q5 movement","movement=true","2","1001","38","37.279","324","0.274","1","240.549","0","259","64","0.82"
"Q5 movement","movement=true","1","1001","38","40.325","345","0.264","2","236.776","1","30","64","0.82"
"Q5 movement","movement=true","5","1001","35","38.406","337","0.257","1","218.019","2","279","64","0.82"
"Q5 movement","movement=true","6","1001","37","36.368","332","0.255","6","221.844","0","221","64","0.82"
"Q5 movement","movement=true","7","1001","41","45.687","366","0.286","12","245.935","0","227","64","0.82"
"Q5 movement","movement=true","8","1001","35","44.506","363","0.268","3","238.678","3","245","64","0.82"
"Q5 movement","movement=true","9","1001","46","46.697","386","0.32","1","272.393","123","256","64","0.82"
"Q5 movement","movement=true","10","1001","38","35.896","343","0.245","1","219.981","0","328","64","0.82"
"Q5 movement","movement=true","11","1001","33","41.489","348","0.25","2","223.89","0","342","64","0.82"
"Q5 movement","movement=true","12","1001","39","47.224","379","0.305","7","262.371","0","388","64","0.82"
"Q5 movement","movement=true","13","1001","36","37.836","337","0.25","7","224.992","2","178","64","0.82"
"Q5 movement","movement=true","14","1001","40","38.406","333","0.273","5","227.051","0","13","64","0.82"
"Q5 movement","movement=true","15","1001","38","42.66","377","0.28","2","245.942","221","263","64","0.82"
"Q5 movement","movement=true","16","1001","36","46.975","367","0.278","8","246.162","124","91","64","0.82"
"Q5 movement","movement=true","17","1001","38","44.18","361","0.284","2","251.275","0","183","64","0.82"
"Q5 movement","movement=true","18","1001","35","41.047","358","0.258","22","228.394","1","322","64","0.82"
"Q5 movement","movement=true","19","1001","39","35.385","323","0.254","6","228.902","2","216","64","0.82"
"Q5 movement","movement=true","20","1001","37","34.056","329","0.247","4","217.903","0","150","64","0.82"
"Q5 movement","movement=false","21","1001","40","42.094","354","0.281","2","247.163","0","24","64","0.82"
"Q5 movement","movement=false","22","1001","40","50.486","380","0.31","2","269.433","106","243","64","0.82"
"Q5 movement","movement=false","23","1001","40","36.173","315","0.269","1","233.975","0","319","64","0.82"
"Q5 movement","movement=false","24","1001","38","42.385","371","0.276","2","238.155","1","18","64","0.82"
"Q5 movement","movement=false","25","1001","33","45.524","382","0.26","1","244.489","0","355","64","0.82"
"Q5 movement","movement=false","26","1001","40","42.557","355","0.288","1","256.693","0","279","64","0.82"
"Q5 movement","movement=false","27","1001","36","33.82","321","0.26","1","228.081","1","203","64","0.82"
"Q5 movement","movement=false","28","1001","33","41.871","354","0.258","1","230.031","0","342","64","0.82"
"Q5 movement","movement=false","29","1001","32","35.304","335","0.239","1","209.802","0","87","64","0.82"
"Q5 movement","movement=false","30","1001","38","38.091","332","0.269","2","231.72","128","305","64","0.82"
"Q5 movement","movement=false","31","1001","39","43.326","364","0.292","1","251.329","328","101","64","0.82"
"Q5 movement","movement=false","32","1001","41","43.988","366","0.298","9","254.785","267","224","64","0.82"
"Q5 movement","movement=false","33","1001","47","39.352","355","0.296","8","256.464","31","262","64","0.82"
"Q5 movement","movement=false","34","1001","36","38.903","344","0.253","15","219.551","8","264","64","0.82"
"Q5 movement","movement=false","35","1001","45","44.062","358","0.312","2","270.251","0","155","64","0.82"
"Q5 movement","movement=false","36","1001","32","41.777","358","0.254","2","227.911","193","271","64","0.82"
"Q5 movement","movement=false","37","1001","38","38.403","343","0.275","2","240.377","0","338","64","0.82"
"Q5 movement","movement=false","38","1001","37","43.314","364","0.281","8","246.76","0","283","64","0.82"
"Q5 movement","movement=false","39","1001","36","40.814","357","0.267","1","233.889","0","347","64","0.82"
"Q5 movement","movement=false","40","1001","34","41.312","363","0.271","1","232.757","0","367","64","0.82"
"Q6 legitimacy","gradual 0.9 to 0","3","251","10","102.084","382","0.673","13","589.367","208","714","64","0.004"
"Q6 legitimacy","gradual 0.9 to 0","2","251","11","96.968","412","0.681","10","581.685","142","789","64","0.004"
"Q6 legitimacy","gradual 0.9 to 0","4","251","9","102.538","411","0.713","29","604.143","124","822","64","0.004"
"Q6 legitimacy","gradual 0.9 to 0","1","251","10","95.486","403","0.757","15","610.745","115","805","64","0.004"
"Q6 legitimacy","gradual 0.9 to 0","5","251","7","123.562","437","0.689","11","586.884","136","801","64","0.004"
"Q6 legitimacy","gradual 0.9 to 0","6","251","8","95.853","458","0.689","25","580.231","68","815","64","0.004"
"Q6 legitimacy","gradual 0.9 to 0","7","251","7","118.837","437","0.673","27","576.614","74","853","64","0.004"
