"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Rebellion.nlogox"
"tocqueville-legitimacy-erosion"
"06/30/2026 13:12:25:508 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","movement?","initial-cop-density","initial-agent-density","vision","max-jail-term","[step]","count agents with [active?]","count agents with [jail-term > 0]","count cops","government-legitimacy"
"4","true","4","70","7","30","0","0","0","64","0.82"
"2","true","4","70","7","30","0","0","0","64","0.82"
"3","true","4","70","7","30","0","0","0","64","0.82"
"1","true","4","70","7","30","0","0","0","64","0.82"
"3","true","4","70","7","30","1","12","10","64","0.82"
"1","true","4","70","7","30","1","1","15","64","0.82"
"2","true","4","70","7","30","1","50","19","64","0.82"
"4","true","4","70","7","30","1","39","20","64","0.82"
"3","true","4","70","7","30","2","1","29","64","0.81672"
"1","true","4","70","7","30","2","0","15","64","0.81672"
"2","true","4","70","7","30","2","290","67","64","0.81672"
"4","true","4","70","7","30","2","145","59","64","0.81672"
"3","true","4","70","7","30","3","0","30","64","0.8134399999999999"
"1","true","4","70","7","30","3","1","18","64","0.8134399999999999"
"2","true","4","70","7","30","3","401","124","64","0.8134399999999999"
"4","true","4","70","7","30","3","353","118","64","0.8134399999999999"
"3","true","4","70","7","30","4","2","30","64","0.81016"
"2","true","4","70","7","30","4","353","181","64","0.81016"
"1","true","4","70","7","30","4","1","21","64","0.81016"
"4","true","4","70","7","30","4","339","175","64","0.81016"
"2","true","4","70","7","30","5","305","239","64","0.8068799999999999"
"1","true","4","70","7","30","5","0","24","64","0.8068799999999999"
"4","true","4","70","7","30","5","297","225","64","0.8068799999999999"
"3","true","4","70","7","30","5","16","37","64","0.8068799999999999"
"2","true","4","70","7","30","6","255","289","64","0.8036"
"4","true","4","70","7","30","6","254","274","64","0.8036"
"1","true","4","70","7","30","6","0","22","64","0.8036"
"3","true","4","70","7","30","6","195","65","64","0.8036"
"2","true","4","70","7","30","7","217","340","64","0.8003199999999999"
"4","true","4","70","7","30","7","217","323","64","0.8003199999999999"
"1","true","4","70","7","30","7","1","24","64","0.8003199999999999"
"2","true","4","70","7","30","8","177","383","64","0.79704"
"3","true","4","70","7","30","7","388","122","64","0.8003199999999999"
"4","true","4","70","7","30","8","176","367","64","0.79704"
"1","true","4","70","7","30","8","1","26","64","0.79704"
"2","true","4","70","7","30","9","142","434","64","0.7937599999999999"
"4","true","4","70","7","30","9","136","407","64","0.7937599999999999"
"2","true","4","70","7","30","10","99","479","64","0.79048"
"3","true","4","70","7","30","8","380","175","64","0.79704"
"1","true","4","70","7","30","9","0","29","64","0.7937599999999999"
"4","true","4","70","7","30","10","95","451","64","0.79048"
"2","true","4","70","7","30","11","36","508","64","0.7871999999999999"
"4","true","4","70","7","30","11","38","489","64","0.7871999999999999"
"1","true","4","70","7","30","10","1","26","64","0.79048"
"3","true","4","70","7","30","9","336","230","64","0.7937599999999999"
"2","true","4","70","7","30","12","4","512","64","0.78392"
"4","true","4","70","7","30","12","0","498","64","0.78392"
"2","true","4","70","7","30","13","3","503","64","0.78064"
"1","true","4","70","7","30","11","0","31","64","0.7871999999999999"
"3","true","4","70","7","30","10","286","282","64","0.79048"
"4","true","4","70","7","30","13","0","488","64","0.78064"
"2","true","4","70","7","30","14","1","485","64","0.7773599999999999"
"4","true","4","70","7","30","14","1","464","64","0.7773599999999999"
"2","true","4","70","7","30","15","2","459","64","0.77408"
"1","true","4","70","7","30","12","2","29","64","0.78392"
"3","true","4","70","7","30","11","245","329","64","0.7871999999999999"
"4","true","4","70","7","30","15","1","449","64","0.77408"
"2","true","4","70","7","30","16","1","440","64","0.7707999999999999"
"1","true","4","70","7","30","13","25","35","64","0.78064"
"3","true","4","70","7","30","12","209","369","64","0.78392"
